202000, 42261.60, 16071.05, 8000
203000, 43030.55, 16193.85, 13000
204000, 42989.95, 15332.05, 11000
205000, 43281.00, 16328.05, 14000
206000, 43298.65, 16392.20, 11000
207000, 43953.10, 17389.85, 8000
208000, 44277.80, 16621.15, 6000
209000, 43734.15, 16181.25, 11000
210000, 44631.75, 16831.40, 10000
211000, 45267.70, 17180.00, 11000
212000, 45012.35, 16708.65, 13000
213000, 45332.05, 17133.90, 7000
214000, 44789.40, 16235.50, 9000
215000, 45466.55, 17483.90, 15000
216000, 45200.80, 16996.75, 9000
217000, 45960.25, 17618.55, 14000
218000, 46189.20, 17136.65, 12000
219000, 46222.45, 17959.70, 8000
220000, 46502.95, 16907.80, 13000
221000, 47989.70, 18791.05, 7000
222000, 47217.30, 18498.40, 14000
223000, 47100.35, 17497.90, 11000
224000, 47673.30, 16891.95, 8000
225000, 47524.50, 17585.75, 10000
226000, 48050.90, 17862.25, 9000
227000, 49026.35, 18425.55, 13000
228000, 48062.40, 18062.50, 10000
229000, 49084.85, 18557.45, 8000
230000, 48414.60, 17649.25, 13000
231000, 49747.75, 18501.85, 8000
232000, 49837.05, 18274.85, 14000
233000, 50611.90, 19252.65, 14000
234000, 49451.55, 17959.10, 9000
235000, 50292.40, 17263.20, 9000
236000, 50295.75, 18441.15, 13000
237000, 51019.40, 19658.35, 8000
238000, 50350.45, 17572.10, 14000
239000, 50725.70, 18902.90, 12000
240000, 50658.30, 18542.85, 11000
241000, 51444.95, 18999.95, 13000
242000, 51946.35, 18975.00, 9000
243000, 51640.10, 18501.35, 14000
244000, 52188.35, 19018.55, 17000
245000, 51926.25, 17938.60, 12000
246000, 52551.30, 19956.00, 14000
247000, 53037.65, 18695.50, 8000
248000, 52826.40, 19830.55, 9000
249000, 53180.70, 19688.40, 11000
250000, 53897.05, 19074.30, 13000
251000, 53407.10, 18403.45, 10000
252000, 53801.30, 18807.55, 6000
253000, 54242.20, 20312.00, 17000
254000, 53840.55, 19209.30, 13000
255000, 54938.40, 20270.85, 12000
256000, 54888.75, 19924.20, 7000
257000, 55309.85, 21383.40, 6000
258000, 56122.95, 20698.90, 7000
259000, 57187.05, 21003.80, 7000
260000, 55545.00, 20189.30, 13000
261000, 56204.20, 21343.60, 8000
262000, 55793.30, 19606.75, 10000
263000, 56458.00, 19592.85, 9000
264000, 56795.30, 19384.85, 11000
265000, 56728.90, 20182.45, 15000
266000, 56875.10, 20517.55, 8000
267000, 57015.05, 20529.85, 18000
268000, 58639.15, 22115.00, 12000
269000, 58196.00, 20591.55, 8000
270000, 58131.80, 20847.40, 10000
271000, 58723.15, 21271.45, 11000
272000, 58320.15, 21147.60, 10000
273000, 59466.50, 21449.95, 13000
274000, 58540.40, 21064.70, 10000
275000, 58938.15, 20922.25, 17000
276000, 59361.45, 20748.25, 7000
277000, 60261.50, 21776.80, 17000
278000, 59628.15, 21777.10, 13000
279000, 60317.60, 22247.00, 14000
280000, 59951.55, 21877.80, 17000
281000, 60492.15, 22390.85, 15000
282000, 61899.35, 23267.70, 15000
283000, 61085.10, 21990.20, 13000
284000, 61405.35, 22322.45, 9000
285000, 62341.10, 22977.35, 15000
286000, 61838.70, 21862.15, 7000
287000, 61969.45, 21266.25, 11000
288000, 61880.40, 21464.45, 11000
289000, 63224.45, 23549.00, 8000
290000, 62753.40, 22319.65, 13000
291000, 63080.85, 22280.30, 14000
292000, 63161.00, 22894.25, 11000
293000, 64475.10, 23079.00, 12000
294000, 64229.55, 23776.35, 14000
295000, 64479.25, 24416.05, 17000
296000, 63594.25, 21833.35, 12000
297000, 64188.80, 22557.55, 14000
298000, 63995.15, 22317.85, 16000
299000, 64827.40, 22992.90, 14000
300000, 66121.90, 24711.50, 14000
301000, 65383.20, 23062.30, 11000
302000, 65804.15, 23255.50, 22000
303000, 66293.30, 24247.60, 12000
304000, 65157.60, 22317.70, 14000
305000, 66192.00, 23778.85, 8000
306000, 66296.40, 23029.95, 18000
307000, 66357.20, 23620.00, 19000
308000, 66929.45, 23459.65, 11000
309000, 66844.00, 23189.30, 12000
310000, 67197.40, 23508.20, 17000
311000, 67369.15, 22909.30, 10000
312000, 67563.65, 24020.00, 8000
313000, 68008.20, 24268.10, 20000
314000, 68224.85, 24111.60, 15000
315000, 69143.05, 25979.15, 10000
316000, 68280.70, 23478.55, 10000
317000, 69235.40, 24293.05, 17000
318000, 69145.15, 23949.05, 13000
319000, 68920.40, 24479.20, 11000
320000, 69460.15, 24820.00, 12000
321000, 70373.05, 24465.45, 14000
322000, 69650.85, 25683.55, 13000
323000, 70164.05, 25107.10, 19000
324000, 70311.80, 24685.95, 11000
325000, 70327.55, 24677.55, 16000
326000, 70696.65, 25872.65, 8000
327000, 71274.20, 24509.25, 10000
328000, 70954.40, 24164.05, 14000
